GridSize,Trial,D_Explored,D_Time,D_Cost,A_Explored,A_Time,A_Cost
20,1,318,0.0,38,226,0.000997,38
20,2,319,0.001,38,211,0.0,38
20,3,321,0.001,38,135,0.0,38
20,4,308,0.0,38,187,0.001,38
20,5,321,0.001,38,251,0.0,38
20,6,307,0.001001,38,198,0.001,38
20,7,312,0.0,38,208,0.001,38
20,8,317,0.001,38,231,0.0,38
20,9,322,0.001,38,188,0.001,38
20,10,316,0.0,inf,319,0.001,inf
40,1,1304,0.003001,78,848,0.001997,78
40,2,1259,0.002999,78,950,0.003,78
40,3,1296,0.003001,78,957,0.002014,78
40,4,1301,0.003984,78,1042,0.003015,78
40,5,1268,0.002985,78,871,0.002,78
40,6,1278,0.003,inf,1334,0.003,inf
40,7,1253,0.002,78,749,0.001,78
40,8,1269,0.002,78,934,0.003,78
40,9,1283,0.003,78,824,0.002,78
40,10,1291,0.003,inf,1298,0.003,inf
60,1,2860,0.009,118,1935,0.004973,118
60,2,2859,0.005999,118,1722,0.004,118
60,3,2862,0.007001,118,2125,0.007016,118
60,4,2881,0.005984,118,2079,0.005,118
60,5,2911,0.006998,118,1885,0.005,118
60,6,2831,0.007999,120,1683,0.004,120
60,7,2893,0.007017,118,1743,0.003984,118
60,8,2901,0.006986,118,1882,0.005977,118
60,9,2896,0.006999,inf,3033,0.008,inf
60,10,2873,0.005999,118,1805,0.005029,118
80,1,5089,0.014,158,3534,0.008999,158
80,2,5083,0.014015,158,3261,0.008984,158
80,3,5103,0.011998,inf,5346,0.014985,inf
80,4,5113,0.011998,158,2858,0.006999,158
80,5,5155,0.012999,inf,5409,0.012984,inf
80,6,5079,0.012013,158,2664,0.007016,158
80,7,5112,0.012,158,3646,0.008985,158
80,8,5097,0.015015,158,3484,0.007999,158
80,9,5147,0.011998,inf,5355,0.011997,inf
80,10,5139,0.010998,158,3731,0.009014,158
100,1,7988,0.020998,inf,8333,0.019998,inf
100,2,8038,0.020015,198,4933,0.012,198
100,3,7984,0.018014,198,4699,0.012014,198
100,4,7946,0.018984,198,5618,0.015,198
100,5,7928,0.017999,198,5339,0.012999,198
100,6,7976,0.018014,198,4667,0.012984,198
100,7,8014,0.018014,198,5387,0.014,198
100,8,7977,0.017998,198,4368,0.010999,198
100,9,7972,0.019984,198,4986,0.012,198
100,10,7967,0.019984,198,4845,0.011999,198
